tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdSlug,letterboxdUrl,letterboxdRatingOutOf5
tt32820897,movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,0,2025,,155,"Action,Adventure,Animation",8.4,64474,165,demon-slayer-kimetsu-no-yaiba-infinity-castle,https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba-infinity-castle/,4.03
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,,238,"Drama,Romance,War",8.2,354681,166,gone-with-the-wind,https://letterboxd.com/film/gone-with-the-wind/,3.86
tt0071315,movie,Chinatown,Chinatown,0,1974,,130,"Drama,Mystery,Thriller",8.1,374898,167,chinatown,https://letterboxd.com/film/chinatown/,4.3
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,,107,"Comedy,Crime",8.1,647425,168,lock-stock-and-two-smoking-barrels,https://letterboxd.com/film/lock-stock-and-two-smoking-barrels/,4.02
tt0434409,movie,V for Vendetta,V for Vendetta,0,2005,,132,"Action,Drama,Sci-Fi",8.1,1240210,169,v-for-vendetta,https://letterboxd.com/film/v-for-vendetta/,3.88
tt0264464,movie,Catch Me If You Can,Catch Me If You Can,0,2002,,141,"Biography,Crime,Drama",8.1,1222117,170,catch-me-if-you-can-2002,https://letterboxd.com/film/catch-me-if-you-can-2002/,4.05
tt2096673,movie,Inside Out,Inside Out,0,2015,,95,"Adventure,Animation,Comedy",8.1,905138,171,inside-out-2015,https://letterboxd.com/film/inside-out-2015/,3.83
tt0042876,movie,Rashomon,Rashômon,0,1950,,88,"Crime,Drama,Mystery",8.1,195281,172,rashomon,https://letterboxd.com/film/rashomon/,4.2
tt0252488,movie,The Chaos Class Failed the Class,Hababam Sinifi: Sinifta Kaldi,0,1975,,95,Comedy,8.5,29943,173,the-chaos-class-failed-the-class,https://letterboxd.com/film/the-chaos-class-failed-the-class/,3.53
tt5027774,movie,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",0,2017,,115,"Comedy,Crime,Drama",8.1,601899,174,three-billboards-outside-ebbing-missouri,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/,4.06
tt0117951,movie,Trainspotting,Trainspotting,0,1996,,93,"Crime,Drama",8.1,765290,175,trainspotting,https://letterboxd.com/film/trainspotting/,4.22
tt0050212,movie,The Bridge on the River Kwai,The Bridge on the River Kwai,0,1957,,161,"Adventure,Drama,War",8.1,247494,176,the-bridge-on-the-river-kwai,https://letterboxd.com/film/the-bridge-on-the-river-kwai/,4.24
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,0,2011,,130,"Adventure,Family,Fantasy",8.1,1036484,177,harry-potter-and-the-deathly-hallows-part-2,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/,4.02
tt0097165,movie,Dead Poets Society,Dead Poets Society,0,1989,,128,"Comedy,Drama",8.1,642337,178,dead-poets-society,https://letterboxd.com/film/dead-poets-society/,4.34
tt29623480,movie,The Wild Robot,The Wild Robot,0,2024,,102,"Adventure,Animation,Family",8.2,215332,179,the-wild-robot,https://letterboxd.com/film/the-wild-robot/,4.21
tt1291584,movie,Warrior,Warrior,0,2011,,140,"Action,Drama,Sport",8.1,526024,180,warrior,https://letterboxd.com/film/warrior/,4.03
tt0116282,movie,Fargo,Fargo,0,1996,,98,"Crime,Drama,Thriller",8.1,780982,181,fargo,https://letterboxd.com/film/fargo/,4.16
tt0072684,movie,Barry Lyndon,Barry Lyndon,0,1975,,185,"Adventure,Drama,War",8.1,202412,182,barry-lyndon,https://letterboxd.com/film/barry-lyndon/,4.4
tt0081398,movie,Raging Bull,Raging Bull,0,1980,,129,"Biography,Drama,Sport",8.1,407679,183,raging-bull,https://letterboxd.com/film/raging-bull/,4.22
tt0052618,movie,Ben-Hur,Ben-Hur,0,1959,,212,"Adventure,Drama",8.1,269895,184,ben-hur-1959,https://letterboxd.com/film/ben-hur-1959/,4.08
tt0405159,movie,Million Dollar Baby,Million Dollar Baby,0,2004,,132,"Drama,Sport",8.1,762221,185,million-dollar-baby,https://letterboxd.com/film/million-dollar-baby/,4.04
tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,0,2015,,120,"Action,Adventure,Sci-Fi",8.1,1198741,186,mad-max-fury-road,https://letterboxd.com/film/mad-max-fury-road/,4.17
tt0118849,movie,Children of Heaven,Bacheha-ye aseman,0,1997,,89,"Drama,Family,Sport",8.2,89187,187,children-of-heaven,https://letterboxd.com/film/children-of-heaven/,4.21
tt2119532,movie,Hacksaw Ridge,Hacksaw Ridge,0,2016,,139,"Biography,Drama,History",8.1,672377,188,hacksaw-ridge,https://letterboxd.com/film/hacksaw-ridge/,4.01
tt1205489,movie,Gran Torino,Gran Torino,0,2008,,116,Drama,8.1,857523,189,gran-torino,https://letterboxd.com/film/gran-torino/,3.83
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,,86,"Adventure,Animation,Comedy",8.1,426719,190,my-neighbor-totoro,https://letterboxd.com/film/my-neighbor-totoro/,4.19
tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,,134,"Biography,Drama,History",8.1,782343,191,12-years-a-slave,https://letterboxd.com/film/12-years-a-slave/,4.16
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,0,2014,,99,"Comedy,Drama",8.1,960468,192,the-grand-budapest-hotel,https://letterboxd.com/film/the-grand-budapest-hotel/,4.24
tt0382932,movie,Ratatouille,Ratatouille,0,2007,,111,"Adventure,Animation,Comedy",8.1,932211,193,ratatouille,https://letterboxd.com/film/ratatouille/,4.23
tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,,101,"Comedy,Drama,Romance",8.1,373628,194,before-sunrise,https://letterboxd.com/film/before-sunrise/,4.3
tt0353969,movie,Memories of Murder,Salinui chueok,0,2003,,131,"Crime,Drama,Mystery",8.1,261879,195,memories-of-murder,https://letterboxd.com/film/memories-of-murder/,4.42
