tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdSlug,letterboxdUrl,letterboxdRatingOutOf5
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,0,1998,,169,"Drama,War",8.6,1625173,24,saving-private-ryan,https://letterboxd.com/film/saving-private-ryan/,4.25
tt0120689,movie,The Green Mile,The Green Mile,0,1999,,189,"Crime,Drama,Fantasy",8.6,1547660,25,the-green-mile,https://letterboxd.com/film/the-green-mile/,4.28
tt0317248,movie,City of God,Cidade de Deus,0,2002,,130,"Crime,Drama",8.6,865094,26,city-of-god,https://letterboxd.com/film/city-of-god/,4.56
tt0118799,movie,Life Is Beautiful,La vita è bella,0,1997,,116,"Comedy,Drama,Romance",8.6,806733,27,life-is-beautiful,https://letterboxd.com/film/life-is-beautiful/,4.4
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,,137,"Action,Adventure,Sci-Fi",8.6,1275045,28,terminator-2-judgment-day,https://letterboxd.com/film/terminator-2-judgment-day/,4.29
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,,121,"Action,Adventure,Fantasy",8.6,1558810,29,star-wars,https://letterboxd.com/film/star-wars/,4.16
tt0088763,movie,Back to the Future,Back to the Future,0,1985,,116,"Adventure,Comedy,Sci-Fi",8.5,1438941,30,back-to-the-future,https://letterboxd.com/film/back-to-the-future/,4.21
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,,124,"Adventure,Animation,Family",8.6,956700,31,spirited-away,https://letterboxd.com/film/spirited-away/,4.44
tt0253474,movie,The Pianist,The Pianist,0,2002,,150,"Biography,Drama,Music",8.5,1004350,32,the-pianist,https://letterboxd.com/film/the-pianist/,4.4
tt0172495,movie,Gladiator,Gladiator,0,2000,,155,"Action,Adventure,Drama",8.5,1832483,33,gladiator-2000,https://letterboxd.com/film/gladiator-2000/,4.17
tt6751668,movie,Parasite,Gisaengchung,0,2019,,132,"Drama,Thriller",8.5,1145711,34,parasite-2019,https://letterboxd.com/film/parasite-2019/,4.53
tt0095327,movie,Grave of the Fireflies,Hotaru no haka,0,1988,,88,"Animation,Drama,War",8.5,378668,35,grave-of-the-fireflies,https://letterboxd.com/film/grave-of-the-fireflies/,4.48
tt0054215,movie,Psycho,Psycho,0,1960,,109,"Drama,Horror,Mystery",8.5,780477,36,psycho,https://letterboxd.com/film/psycho/,4.31
tt0110357,movie,The Lion King,The Lion King,0,1994,,88,"Adventure,Animation,Drama",8.5,1248710,37,the-lion-king,https://letterboxd.com/film/the-lion-king/,4.23
tt0056058,movie,Harakiri,Seppuku,0,1962,,133,"Drama,Mystery",8.6,89534,38,harakiri,https://letterboxd.com/film/harakiri/,4.69
tt0407887,movie,The Departed,The Departed,0,2006,,151,"Crime,Drama,Thriller",8.5,1541808,39,the-departed,https://letterboxd.com/film/the-departed/,4.34
tt2582802,movie,Whiplash,Whiplash,0,2014,,106,"Drama,Music",8.5,1139023,40,whiplash-2014,https://letterboxd.com/film/whiplash-2014/,4.42
tt0482571,movie,The Prestige,The Prestige,0,2006,,130,"Drama,Mystery,Sci-Fi",8.5,1573591,41,the-prestige,https://letterboxd.com/film/the-prestige/,4.28
tt0120586,movie,American History X,American History X,0,1998,,119,"Crime,Drama",8.5,1265766,42,american-history-x,https://letterboxd.com/film/american-history-x/,4.15
tt0110413,movie,Léon: The Professional,Léon,0,1994,,110,"Action,Crime,Drama",8.5,1342499,43,leon-the-professional,https://letterboxd.com/film/leon-the-professional/,4.01
tt9362722,movie,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,0,2023,,140,"Action,Adventure,Animation",8.5,510178,44,spider-man-across-the-spider-verse,https://letterboxd.com/film/spider-man-across-the-spider-verse/,4.4
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,0,1988,,174,"Drama,Romance",8.5,315268,45,cinema-paradiso,https://letterboxd.com/film/cinema-paradiso/,4.5
tt6019206,movie,Kill Bill: The Whole Bloody Affair,Kill Bill: The Whole Bloody Affair,0,2006,,248,"Action,Crime,Thriller",8.8,26150,46,kill-bill-the-whole-bloody-affair,https://letterboxd.com/film/kill-bill-the-whole-bloody-affair/,4.48
tt0034583,movie,Casablanca,Casablanca,0,1942,,102,"Drama,Romance,War",8.5,652037,47,casablanca,https://letterboxd.com/film/casablanca/,4.28
tt1675434,movie,The Intouchables,Intouchables,0,2011,,112,"Comedy,Drama",8.5,1018158,48,the-intouchables,https://letterboxd.com/film/the-intouchables/,4.15
tt0114814,movie,The Usual Suspects,The Usual Suspects,0,1995,,106,"Crime,Drama,Mystery",8.5,1230246,49,the-usual-suspects,https://letterboxd.com/film/the-usual-suspects/,4.07
tt0078748,movie,Alien,Alien,0,1979,,117,"Horror,Sci-Fi",8.5,1055879,50,alien,https://letterboxd.com/film/alien/,4.25
tt1853728,movie,Django Unchained,Django Unchained,0,2012,,165,"Drama,Western",8.5,1865486,51,django-unchained,https://letterboxd.com/film/django-unchained/,4.33
tt0027977,movie,Modern Times,Modern Times,0,1936,,87,"Comedy,Drama,Romance",8.5,283890,52,modern-times,https://letterboxd.com/film/modern-times/,4.26
tt0047396,movie,Rear Window,Rear Window,0,1954,,112,"Drama,Mystery,Thriller",8.5,566048,53,rear-window,https://letterboxd.com/film/rear-window/,4.37
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,0,1968,,145,"Drama,Western",8.5,382011,54,once-upon-a-time-in-the-west,https://letterboxd.com/film/once-upon-a-time-in-the-west/,4.39
tt0021749,movie,City Lights,City Lights,0,1931,,87,"Comedy,Drama,Romance",8.5,215402,55,city-lights,https://letterboxd.com/film/city-lights/,4.33
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,,147,"Drama,Mystery,War",8.4,765466,56,apocalypse-now,https://letterboxd.com/film/apocalypse-now/,4.44
tt0910970,movie,WALL·E,WALL·E,0,2008,,98,"Adventure,Animation,Family",8.4,1308716,57,walle,https://letterboxd.com/film/walle/,4.23
tt0209144,movie,Memento,Memento,0,2000,,113,"Drama,Mystery,Thriller",8.4,1424945,58,memento,https://letterboxd.com/film/memento/,4.18
tt15239678,movie,Dune: Part Two,Dune: Part Two,0,2024,,166,"Action,Adventure,Drama",8.4,717849,59,dune-part-two,https://letterboxd.com/film/dune-part-two/,4.38
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,,115,"Action,Adventure",8.4,1104252,60,raiders-of-the-lost-ark,https://letterboxd.com/film/raiders-of-the-lost-ark/,4.15
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,0,2018,,149,"Action,Adventure,Sci-Fi",8.4,1355038,61,avengers-infinity-war,https://letterboxd.com/film/avengers-infinity-war/,4.03
tt0405094,movie,The Lives of Others,Das Leben der Anderen,0,2006,,137,"Drama,Mystery,Thriller",8.4,441043,62,the-lives-of-others,https://letterboxd.com/film/the-lives-of-others/,4.29
tt4633694,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,0,2018,,117,"Action,Adventure,Animation",8.4,777351,63,spider-man-into-the-spider-verse,https://letterboxd.com/film/spider-man-into-the-spider-verse/,4.4
tt0043014,movie,Sunset Boulevard,Sunset Blvd.,0,1950,,110,"Drama,Film-Noir",8.4,259553,64,sunset-boulevard,https://letterboxd.com/film/sunset-boulevard/,4.43
tt0051201,movie,Witness for the Prosecution,Witness for the Prosecution,0,1957,,116,"Crime,Drama,Mystery",8.4,160223,65,witness-for-the-prosecution-1957,https://letterboxd.com/film/witness-for-the-prosecution-1957/,4.4
tt0050825,movie,Paths of Glory,Paths of Glory,0,1957,,88,"Drama,War",8.4,237351,66,paths-of-glory,https://letterboxd.com/film/paths-of-glory/,4.45
tt0081505,movie,The Shining,The Shining,0,1980,,146,"Drama,Horror",8.4,1215603,67,the-shining,https://letterboxd.com/film/the-shining/,4.22
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,,125,"Comedy,Drama,War",8.4,258202,68,the-great-dictator,https://letterboxd.com/film/the-great-dictator/,4.33
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009,,153,"Adventure,Drama,War",8.4,1764000,69,inglourious-basterds,https://letterboxd.com/film/inglourious-basterds/,4.36
tt23849204,movie,12th Fail,12th Fail,0,2023,,147,"Biography,Drama",8.7,167933,70,12th-fail,https://letterboxd.com/film/12th-fail/,4.13
tt0090605,movie,Aliens,Aliens,0,1986,,137,"Action,Adventure,Horror",8.4,835824,71,aliens,https://letterboxd.com/film/aliens/,4.11
tt0057565,movie,High and Low,Tengoku to jigoku,0,1963,,143,"Crime,Drama,Mystery",8.4,70406,72,high-and-low,https://letterboxd.com/film/high-and-low/,4.6
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,,164,"Action,Crime,Drama",8.4,1978133,73,the-dark-knight-rises,https://letterboxd.com/film/the-dark-knight-rises/,3.8
tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,,181,"Action,Adventure,Sci-Fi",8.4,1427721,74,avengers-endgame,https://letterboxd.com/film/avengers-endgame/,3.95
tt0119217,movie,Good Will Hunting,Good Will Hunting,0,1997,,126,"Drama,Romance",8.4,1201800,75,good-will-hunting,https://letterboxd.com/film/good-will-hunting/,4.37
tt2380307,movie,Coco,Coco,0,2017,,105,"Adventure,Animation,Drama",8.4,696621,76,coco-2017,https://letterboxd.com/film/coco-2017/,4.13
tt0086879,movie,Amadeus,Amadeus,0,1984,,160,"Biography,Drama,Music",8.4,464981,77,amadeus,https://letterboxd.com/film/amadeus/,4.35
tt0114709,movie,Toy Story,Toy Story,0,1995,,81,"Adventure,Animation,Comedy",8.3,1163609,78,toy-story,https://letterboxd.com/film/toy-story/,4.11
tt5311514,movie,Your Name.,Kimi no na wa.,0,2016,,106,"Animation,Drama,Fantasy",8.4,385469,79,your-name,https://letterboxd.com/film/your-name/,4.23
tt0082096,movie,Das Boot,Das Boot,0,1981,,149,"Drama,War",8.3,286450,80,das-boot,https://letterboxd.com/film/das-boot/,4.33
tt0364569,movie,Oldboy,Oldeuboi,0,2003,,120,"Action,Drama,Mystery",8.3,710978,81,oldboy,https://letterboxd.com/film/oldboy/,4.37
tt0112573,movie,Braveheart,Braveheart,0,1995,,178,"Biography,Drama,War",8.3,1154973,82,braveheart,https://letterboxd.com/film/braveheart/,3.91
tt0119698,movie,Princess Mononoke,Mononoke-hime,0,1997,,133,"Adventure,Animation,Fantasy",8.3,479257,83,princess-mononoke,https://letterboxd.com/film/princess-mononoke/,4.39
tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,1964,,95,"Comedy,War",8.3,549008,84,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,4.3
tt1187043,movie,3 Idiots,3 Idiots,0,2009,,170,"Comedy,Drama",8.4,477636,85,3-idiots,https://letterboxd.com/film/3-idiots/,4.14
tt0169547,movie,American Beauty,American Beauty,0,1999,,122,Drama,8.3,1274231,86,american-beauty,https://letterboxd.com/film/american-beauty/,3.95
tt8267604,movie,Capernaum,Capharnaüm,0,2018,,126,Drama,8.4,122769,87,capernaum,https://letterboxd.com/film/capernaum/,4.21
tt0045152,movie,Singin' in the Rain,Singin' in the Rain,0,1952,,103,"Comedy,Musical,Romance",8.3,280779,88,singin-in-the-rain,https://letterboxd.com/film/singin-in-the-rain/,4.35
tt7286456,movie,Joker,Joker,0,2019,,122,"Crime,Drama,Thriller",8.3,1675816,89,joker-2019,https://letterboxd.com/film/joker-2019/,3.84
tt0087843,movie,Once Upon a Time in America,C'era una volta in America,0,1984,,229,"Crime,Drama",8.3,406343,90,once-upon-a-time-in-america,https://letterboxd.com/film/once-upon-a-time-in-america/,4.22
tt0091251,movie,Come and See,Idi i smotri,0,1985,,142,"Drama,Thriller,War",8.3,120868,91,come-and-see,https://letterboxd.com/film/come-and-see/,4.61
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,,131,"Action,Adventure,Fantasy",8.3,1200712,92,return-of-the-jedi,https://letterboxd.com/film/return-of-the-jedi/,4.08
tt0180093,movie,Requiem for a Dream,Requiem for a Dream,0,2000,,102,Drama,8.3,966972,93,requiem-for-a-dream,https://letterboxd.com/film/requiem-for-a-dream/,4.1
tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,,103,"Adventure,Animation,Comedy",8.3,962094,94,toy-story-3,https://letterboxd.com/film/toy-story-3/,4.01
tt0044741,movie,Ikiru,Ikiru,0,1952,,143,Drama,8.3,101363,95,ikiru,https://letterboxd.com/film/ikiru/,4.51
tt2106476,movie,The Hunt,Jagten,0,2012,,115,Drama,8.3,405306,96,the-hunt-2012,https://letterboxd.com/film/the-hunt-2012/,4.28
tt1255953,movie,Incendies,Incendies,0,2010,,131,"Drama,Mystery,War",8.3,246523,97,incendies,https://letterboxd.com/film/incendies/,4.44
tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,0,2004,,108,"Drama,Romance,Sci-Fi",8.3,1174021,98,eternal-sunshine-of-the-spotless-mind,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,4.24
tt0053604,movie,The Apartment,The Apartment,0,1960,,125,"Comedy,Drama,Romance",8.3,217648,99,the-apartment,https://letterboxd.com/film/the-apartment/,4.43
tt0056172,movie,Lawrence of Arabia,Lawrence of Arabia,0,1962,,227,"Adventure,Biography,Drama",8.3,339546,100,lawrence-of-arabia,https://letterboxd.com/film/lawrence-of-arabia/,4.4
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,,149,"Adventure,Sci-Fi",8.3,777254,101,2001-a-space-odyssey,https://letterboxd.com/film/2001-a-space-odyssey/,4.25
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,0,1992,,99,"Crime,Thriller",8.3,1163297,102,reservoir-dogs,https://letterboxd.com/film/reservoir-dogs/,4.14
tt0113277,movie,Heat,Heat,0,1995,,170,"Action,Crime,Drama",8.3,794085,103,heat-1995,https://letterboxd.com/film/heat-1995/,4.3
tt0086250,movie,Scarface,Scarface,0,1983,,170,"Crime,Drama",8.3,1005866,104,scarface-1983,https://letterboxd.com/film/scarface-1983/,4.14
tt0036775,movie,Double Indemnity,Double Indemnity,0,1944,,107,"Crime,Drama,Film-Noir",8.3,180202,105,double-indemnity,https://letterboxd.com/film/double-indemnity/,4.26
tt1049413,movie,Up,Up,0,2009,,96,"Adventure,Animation,Comedy",8.3,1224998,106,up,https://letterboxd.com/film/up/,4.1
tt0053125,movie,North by Northwest,North by Northwest,0,1959,,136,"Adventure,Drama,Mystery",8.3,368143,107,north-by-northwest,https://letterboxd.com/film/north-by-northwest/,4.19
tt0986264,movie,Like Stars on Earth,Taare Zameen Par,0,2007,,162,"Drama,Family",8.3,230155,108,like-stars-on-earth,https://letterboxd.com/film/like-stars-on-earth/,4.03
tt0093058,movie,Full Metal Jacket,Full Metal Jacket,0,1987,,116,"Drama,War",8.2,845569,109,full-metal-jacket,https://letterboxd.com/film/full-metal-jacket/,4.2
tt0022100,movie,M,M - Eine Stadt sucht einen Mörder,0,1931,,99,"Crime,Mystery,Thriller",8.3,181875,110,m,https://letterboxd.com/film/m/,4.29
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,,119,"Drama,Mystery",8.2,491593,111,citizen-kane,https://letterboxd.com/film/citizen-kane/,4.19
tt0211915,movie,Amélie,Le fabuleux destin d'Amélie Poulain,0,2001,,122,"Comedy,Romance",8.3,835649,112,amelie,https://letterboxd.com/film/amelie/,4.19
tt0052357,movie,Vertigo,Vertigo,0,1958,,128,"Mystery,Romance,Thriller",8.2,456983,113,vertigo,https://letterboxd.com/film/vertigo/,4.22
tt1832382,movie,A Separation,Jodaeiye Nader az Simin,0,2011,,123,Drama,8.3,276310,114,a-separation,https://letterboxd.com/film/a-separation/,4.37
tt0095016,movie,Die Hard,Die Hard,0,1988,,132,"Action,Thriller",8.2,1023790,115,die-hard,https://letterboxd.com/film/die-hard/,4.05
tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,1962,,129,"Crime,Drama",8.2,350193,116,to-kill-a-mockingbird,https://letterboxd.com/film/to-kill-a-mockingbird/,4.1
tt0070735,movie,The Sting,The Sting,0,1973,,129,"Comedy,Crime,Drama",8.2,298646,117,the-sting,https://letterboxd.com/film/the-sting/,4.2
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,,127,"Action,Adventure",8.2,859113,118,indiana-jones-and-the-last-crusade,https://letterboxd.com/film/indiana-jones-and-the-last-crusade/,4.1
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,,136,"Crime,Sci-Fi",8.2,932065,119,a-clockwork-orange,https://letterboxd.com/film/a-clockwork-orange/,4.11
tt0017136,movie,Metropolis,Metropolis,0,1927,,153,"Drama,Sci-Fi",8.2,199949,120,metropolis,https://letterboxd.com/film/metropolis/,4.25
tt8579674,movie,1917,1917,0,2019,,119,"Action,Drama,War",8.2,762786,121,1917,https://letterboxd.com/film/1917/,4.12
tt0208092,movie,Snatch,Snatch,0,2000,,102,"Comedy,Crime",8.2,971014,122,snatch,https://letterboxd.com/film/snatch/,4.04
tt0119488,movie,L.A. Confidential,L.A. Confidential,0,1997,,138,"Crime,Drama,Mystery",8.2,655640,123,la-confidential,https://letterboxd.com/film/la-confidential/,4.09
tt0363163,movie,Downfall,Der Untergang,0,2004,,156,"Biography,Drama,History",8.2,398278,124,downfall,https://letterboxd.com/film/downfall/,4.12
tt0993846,movie,The Wolf of Wall Street,The Wolf of Wall Street,0,2013,,180,"Biography,Comedy,Crime",8.2,1766950,125,the-wolf-of-wall-street,https://letterboxd.com/film/the-wolf-of-wall-street/,3.99
tt5074352,movie,Dangal,Dangal,0,2016,,161,"Action,Biography,Drama",8.3,240001,126,dangal,https://letterboxd.com/film/dangal/,3.93
tt0040522,movie,Bicycle Thieves,Ladri di biciclette,0,1948,,89,Drama,8.2,191563,127,bicycle-thieves,https://letterboxd.com/film/bicycle-thieves/,4.29
tt0120382,movie,The Truman Show,The Truman Show,0,1998,,103,"Comedy,Drama",8.2,1355241,128,the-truman-show,https://letterboxd.com/film/the-truman-show/,4.22
tt15398776,movie,Oppenheimer,Oppenheimer,0,2023,,180,"Biography,Drama,History",8.2,1005273,129,oppenheimer-2023,https://letterboxd.com/film/oppenheimer-2023/,4.17
tt6966692,movie,Green Book,Green Book,0,2018,,130,"Biography,Comedy,Drama",8.2,675296,130,green-book,https://letterboxd.com/film/green-book/,3.84
