tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank
tt1305806,movie,The Secret in Their Eyes,El secreto de sus ojos,0,2009,,129,"Drama,Mystery,Romance",8.2,240497,164
tt32820897,movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,0,2025,,155,"Action,Adventure,Animation",8.4,64474,165
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,,238,"Drama,Romance,War",8.2,354681,166
tt0071315,movie,Chinatown,Chinatown,0,1974,,130,"Drama,Mystery,Thriller",8.1,374898,167
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,,107,"Comedy,Crime",8.1,647425,168
tt0434409,movie,V for Vendetta,V for Vendetta,0,2005,,132,"Action,Drama,Sci-Fi",8.1,1240210,169
tt0264464,movie,Catch Me If You Can,Catch Me If You Can,0,2002,,141,"Biography,Crime,Drama",8.1,1222117,170
tt2096673,movie,Inside Out,Inside Out,0,2015,,95,"Adventure,Animation,Comedy",8.1,905138,171
tt0042876,movie,Rashomon,Rashômon,0,1950,,88,"Crime,Drama,Mystery",8.1,195281,172
tt0252488,movie,The Chaos Class Failed the Class,Hababam Sinifi: Sinifta Kaldi,0,1975,,95,Comedy,8.5,29943,173
tt5027774,movie,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",0,2017,,115,"Comedy,Crime,Drama",8.1,601899,174
tt0117951,movie,Trainspotting,Trainspotting,0,1996,,93,"Crime,Drama",8.1,765290,175
tt0050212,movie,The Bridge on the River Kwai,The Bridge on the River Kwai,0,1957,,161,"Adventure,Drama,War",8.1,247494,176
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,0,2011,,130,"Adventure,Family,Fantasy",8.1,1036484,177
tt0097165,movie,Dead Poets Society,Dead Poets Society,0,1989,,128,"Comedy,Drama",8.1,642337,178
tt29623480,movie,The Wild Robot,The Wild Robot,0,2024,,102,"Adventure,Animation,Family",8.2,215332,179
tt1291584,movie,Warrior,Warrior,0,2011,,140,"Action,Drama,Sport",8.1,526024,180
tt0116282,movie,Fargo,Fargo,0,1996,,98,"Crime,Drama,Thriller",8.1,780982,181
tt0072684,movie,Barry Lyndon,Barry Lyndon,0,1975,,185,"Adventure,Drama,War",8.1,202412,182
tt0081398,movie,Raging Bull,Raging Bull,0,1980,,129,"Biography,Drama,Sport",8.1,407679,183
tt0052618,movie,Ben-Hur,Ben-Hur,0,1959,,212,"Adventure,Drama",8.1,269895,184
tt0405159,movie,Million Dollar Baby,Million Dollar Baby,0,2004,,132,"Drama,Sport",8.1,762221,185
tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,0,2015,,120,"Action,Adventure,Sci-Fi",8.1,1198741,186
tt0118849,movie,Children of Heaven,Bacheha-ye aseman,0,1997,,89,"Drama,Family,Sport",8.2,89187,187
tt2119532,movie,Hacksaw Ridge,Hacksaw Ridge,0,2016,,139,"Biography,Drama,History",8.1,672377,188
tt1205489,movie,Gran Torino,Gran Torino,0,2008,,116,Drama,8.1,857523,189
tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,,86,"Adventure,Animation,Comedy",8.1,426719,190
tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,,134,"Biography,Drama,History",8.1,782343,191
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,0,2014,,99,"Comedy,Drama",8.1,960468,192
tt0382932,movie,Ratatouille,Ratatouille,0,2007,,111,"Adventure,Animation,Comedy",8.1,932211,193
tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,,101,"Comedy,Drama,Romance",8.1,373628,194
tt0353969,movie,Memories of Murder,Salinui chueok,0,2003,,131,"Crime,Drama,Mystery",8.1,261879,195
tt0083658,movie,Blade Runner,Blade Runner,0,1982,,117,"Action,Drama,Sci-Fi",8.1,876481,196
tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,2010,,98,"Action,Adventure,Animation",8.1,885105,197
tt10872600,movie,Spider-Man: No Way Home,Spider-Man: No Way Home,0,2021,,148,"Action,Adventure,Fantasy",8.1,1004483,198
tt2267998,movie,Gone Girl,Gone Girl,0,2014,,149,"Drama,Mystery,Thriller",8.1,1159255,199
tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,,92,"Adventure,Animation,Comedy",8.1,1065583,200
tt0073195,movie,Jaws,Jaws,0,1975,,124,"Adventure,Horror,Thriller",8.1,731153,201
tt0107207,movie,In the Name of the Father,In the Name of the Father,0,1993,,133,"Biography,Crime,Drama",8.1,201638,202
tt1950186,movie,Ford v Ferrari,Ford v Ferrari,0,2019,,152,"Action,Biography,Drama",8.1,562494,203
tt3011894,movie,Wild Tales,Relatos salvajes,0,2014,,122,"Comedy,Drama,Thriller",8.1,236452,204
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,,95,"Adventure,Comedy,Drama",8.1,127523,205
tt0978762,movie,Mary and Max,Mary and Max.,0,2009,,92,"Animation,Comedy,Drama",8.1,200758,206
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,,45,"Action,Comedy,Romance",8.1,65102,207
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,,183,"Drama,War",8.1,384827,208
tt0046268,movie,The Wages of Fear,Le salaire de la peur,0,1953,,156,"Adventure,Drama,Thriller",8.1,73019,209
tt0017925,movie,The General,The General,0,1926,,78,"Action,Adventure,Comedy",8.1,105623,210
tt3315342,movie,Logan,Logan,0,2017,,137,"Action,Drama,Sci-Fi",8.1,918692,211
tt0075148,movie,Rocky,Rocky,0,1976,,120,"Drama,Sport",8.1,683140,212
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,,129,"Comedy,Drama",8.1,128904,213
tt0047296,movie,On the Waterfront,On the Waterfront,0,1954,,108,"Crime,Drama,Thriller",8.1,176869,214
tt0046438,movie,Tokyo Story,Tôkyô monogatari,0,1953,,137,Drama,8.1,77027,215
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,,143,"Action,Adventure,Fantasy",8.1,1313011,216
tt0050986,movie,Wild Strawberries,Smultronstället,0,1957,,92,"Drama,Romance",8.1,123846,217
tt1895587,movie,Spotlight,Spotlight,0,2015,,129,"Biography,Crime,Drama",8.1,532080,218
tt0113247,movie,La haine,La haine,0,1995,,98,"Crime,Drama",8.1,223325,219
tt5323662,movie,A Silent Voice: The Movie,Koe no katachi,0,2016,,130,"Animation,Drama",8.2,137387,220
tt0088247,movie,The Terminator,The Terminator,0,1984,,107,"Action,Adventure,Sci-Fi",8.1,996493,221
tt0041959,movie,The Third Man,The Third Man,0,1949,,104,"Drama,Film-Noir,Mystery",8.1,194344,222
tt26548265,movie,Maharaja,Maharaja,0,2024,,141,"Action,Crime,Drama",8.3,79889,223
tt0059742,movie,The Sound of Music,The Sound of Music,0,1965,,174,"Biography,Drama,Family",8.1,289222,224
tt15097216,movie,Jai Bhim,Jai Bhim,0,2021,,164,"Crime,Drama",8.6,233124,225
tt0118715,movie,The Big Lebowski,The Big Lebowski,0,1998,,117,"Comedy,Crime",8.1,912191,226
tt0036868,movie,The Best Years of Our Lives,The Best Years of Our Lives,0,1946,,170,"Drama,Romance,War",8.1,76997,227
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,,96,"Drama,Fantasy",8.1,214811,228
tt3170832,movie,Room,Room,0,2015,,118,"Drama,Thriller",8.1,477885,229
tt0381681,movie,Before Sunset,Before Sunset,0,2004,,80,"Drama,Romance",8.1,312452,230
tt0395169,movie,Hotel Rwanda,Hotel Rwanda,0,2004,,121,"Biography,Drama,History",8.1,390447,231
tt0091763,movie,Platoon,Platoon,0,1986,,120,"Drama,War",8.1,469667,232
tt0317705,movie,The Incredibles,The Incredibles,0,2004,,115,"Action,Adventure,Animation",8.0,891877,233
tt30472557,movie,Chainsaw Man - The Movie: Reze Arc,Gekijô-ban Chensô Man Reze-hen,0,2025,,100,"Action,Adventure,Animation",8.3,46821,234
tt1028532,movie,Hachi: A Dog's Tale,Hachi: A Dog's Tale,0,2009,,93,"Biography,Drama,Family",8.1,340118,235
tt0070047,movie,The Exorcist,The Exorcist,0,1973,,122,Horror,8.1,495259,236
tt1979320,movie,Rush,Rush,0,2013,,123,"Biography,Drama,Sport",8.1,554928,237
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,,102,"Adventure,Family,Fantasy",8.1,464791,238
tt0092005,movie,Stand by Me,Stand by Me,0,1986,,89,"Adventure,Comedy,Drama",8.1,483040,239
tt0129167,movie,The Iron Giant,The Iron Giant,0,1999,,86,"Action,Adventure,Animation",8.1,257361,240
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,,114,"Biography,Drama,History",8.1,67646,241
tt0476735,movie,My Father and My Son,Babam ve Oglum,0,2005,,112,"Drama,Family",8.2,100145,242
tt0058946,movie,The Battle of Algiers,La battaglia di Algeri,0,1966,,121,"Drama,War",8.1,74892,243
tt4016934,movie,The Handmaiden,Ah-ga-ssi,0,2016,,145,"Drama,Romance,Thriller",8.1,200278,244
tt0074958,movie,Network,Network,0,1976,,121,Drama,8.1,184846,245
tt0035446,movie,To Be or Not to Be,To Be or Not to Be,0,1942,,99,"Comedy,Romance,War",8.1,49452,246
tt1954470,movie,Gangs of Wasseypur,Gangs of Wasseypur,0,2012,,321,"Action,Comedy,Crime",8.2,113223,247
tt4430212,movie,Drishyam,Drishyam,0,2015,,163,"Crime,Drama,Mystery",8.2,107497,248
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,0,1940,,129,Drama,8.1,107878,249
tt1454029,movie,The Help,The Help,0,2011,,146,Drama,8.1,525605,250
