tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdUrl,letterboxdRatingOutOf5,rottenTomatoesPercent,metacriticScore,metacriticUserScore
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.1,65102,207,https://letterboxd.com/film/sherlock-jr/,4.37,86.0,,
tt0077416,movie,The Deer Hunter,The Deer Hunter,1978,183,"Drama,War",8.1,384827,208,https://letterboxd.com/film/the-deer-hunter/,4.21,86.0,90.0,
tt0046268,movie,The Wages of Fear,Le salaire de la peur,1953,156,"Adventure,Drama,Thriller",8.1,73019,209,https://letterboxd.com/film/the-wages-of-fear/,4.36,100.0,85.0,
tt0017925,movie,The General,The General,1926,78,"Action,Adventure,Comedy",8.1,105623,210,https://letterboxd.com/film/the-general/,4.2,92.0,,
tt3315342,movie,Logan,Logan,2017,137,"Action,Drama,Sci-Fi",8.1,918692,211,https://letterboxd.com/film/logan-2017/,4.12,93.0,77.0,
tt0075148,movie,Rocky,Rocky,1976,120,"Drama,Sport",8.1,683140,212,https://letterboxd.com/film/rocky/,4.1,93.0,70.0,
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,1939,129,"Comedy,Drama",8.1,128904,213,https://letterboxd.com/film/mr-smith-goes-to-washington/,4.13,85.0,73.0,
tt0047296,movie,On the Waterfront,On the Waterfront,1954,108,"Crime,Drama,Thriller",8.1,176869,214,https://letterboxd.com/film/on-the-waterfront/,4.17,99.0,91.0,
tt0046438,movie,Tokyo Story,Tôkyô monogatari,1953,137,Drama,8.1,77027,215,https://letterboxd.com/film/tokyo-story/,4.43,100.0,100.0,
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action,Adventure,Fantasy",8.1,1313011,216,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/,3.99,79.0,63.0,
tt0050986,movie,Wild Strawberries,Smultronstället,1957,92,"Drama,Romance",8.1,123846,217,https://letterboxd.com/film/wild-strawberries/,4.33,94.0,88.0,
tt1895587,movie,Spotlight,Spotlight,2015,129,"Biography,Crime,Drama",8.1,532080,218,https://letterboxd.com/film/spotlight/,4.12,97.0,93.0,
tt0113247,movie,La haine,La haine,1995,98,"Crime,Drama",8.1,223325,219,https://letterboxd.com/film/la-haine/,4.5,96.0,,
tt5323662,movie,A Silent Voice: The Movie,Koe no katachi,2016,130,"Animation,Drama",8.2,137387,220,https://letterboxd.com/film/a-silent-voice-the-movie/,4.2,,78.0,
tt0088247,movie,The Terminator,The Terminator,1984,107,"Action,Adventure,Sci-Fi",8.1,996493,221,https://letterboxd.com/film/the-terminator/,3.88,90.0,84.0,
tt0041959,movie,The Third Man,The Third Man,1949,104,"Drama,Film-Noir,Mystery",8.1,194344,222,https://letterboxd.com/film/the-third-man/,4.24,99.0,97.0,
tt26548265,movie,Maharaja,Maharaja,2024,141,"Action,Crime,Drama",8.3,79889,223,https://letterboxd.com/film/maharaja-2024/,3.83,83.0,,
tt0059742,movie,The Sound of Music,The Sound of Music,1965,174,"Biography,Drama,Family",8.1,289222,224,https://letterboxd.com/film/the-sound-of-music/,4.24,83.0,63.0,
tt15097216,movie,Jai Bhim,Jai Bhim,2021,164,"Crime,Drama",8.6,233124,225,https://letterboxd.com/film/jai-bhim/,3.77,100.0,,
tt0118715,movie,The Big Lebowski,The Big Lebowski,1998,117,"Comedy,Crime",8.1,912191,226,https://letterboxd.com/film/the-big-lebowski/,4.11,79.0,71.0,
tt0036868,movie,The Best Years of Our Lives,The Best Years of Our Lives,1946,170,"Drama,Romance,War",8.1,76997,227,https://letterboxd.com/film/the-best-years-of-our-lives/,4.24,98.0,93.0,
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,1957,96,"Drama,Fantasy",8.1,214811,228,https://letterboxd.com/film/the-seventh-seal/,4.33,93.0,88.0,
tt3170832,movie,Room,Room,2015,118,"Drama,Thriller",8.1,477885,229,https://letterboxd.com/film/room-2015/,3.96,93.0,86.0,
tt0381681,movie,Before Sunset,Before Sunset,2004,80,"Drama,Romance",8.1,312452,230,https://letterboxd.com/film/before-sunset/,4.32,94.0,91.0,
tt0395169,movie,Hotel Rwanda,Hotel Rwanda,2004,121,"Biography,Drama,History",8.1,390447,231,https://letterboxd.com/film/hotel-rwanda/,3.85,91.0,79.0,
tt0091763,movie,Platoon,Platoon,1986,120,"Drama,War",8.1,469667,232,https://letterboxd.com/film/platoon/,3.98,89.0,92.0,
tt0317705,movie,The Incredibles,The Incredibles,2004,115,"Action,Adventure,Animation",8.0,891877,233,https://letterboxd.com/film/the-incredibles/,4.07,,90.0,
tt30472557,movie,Chainsaw Man - The Movie: Reze Arc,Gekijô-ban Chensô Man Reze-hen,2025,100,"Action,Adventure,Animation",8.3,46821,234,https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc/,4.35,96.0,71.0,
tt1028532,movie,Hachi: A Dog's Tale,Hachi: A Dog's Tale,2009,93,"Biography,Drama,Family",8.1,340118,235,https://letterboxd.com/film/hachi-a-dogs-tale/,3.88,64.0,,
tt0070047,movie,The Exorcist,The Exorcist,1973,122,Horror,8.1,495259,236,https://letterboxd.com/film/the-exorcist/,3.95,78.0,83.0,
tt1979320,movie,Rush,Rush,2013,123,"Biography,Drama,Sport",8.1,554928,237,https://letterboxd.com/film/rush-2013/,3.86,89.0,74.0,
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,1939,102,"Adventure,Family,Fantasy",8.1,464791,238,https://letterboxd.com/film/the-wizard-of-oz-1939/,3.93,98.0,92.0,
tt0092005,movie,Stand by Me,Stand by Me,1986,89,"Adventure,Comedy,Drama",8.1,483040,239,https://letterboxd.com/film/stand-by-me/,4.18,92.0,75.0,
tt0129167,movie,The Iron Giant,The Iron Giant,1999,86,"Action,Adventure,Animation",8.1,257361,240,https://letterboxd.com/film/the-iron-giant/,4.28,96.0,85.0,
